date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16.00,1108,7080,98,0,0,0,59,15678757.04.00
1/1/2015,Quarter1,finishing,Thursday,1,1.15,4.34,,960,0,0,0,0,8,147.45.00
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968,3660,50,0,0,0,30.5,13342841.32.00
1/1/2015,Quarter1,sweing,Thursday,12,0.8,11.41,968,3660,50,0,0,0,30.5,13342841.32.00
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170,1920,50,0,0,0,56,13339699.04.00
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984,6720,38,0,0,0,56,13335.25.00
1/1/2015,Quarter1,finishing,Thursday,2,1.15,4.34,,960,0,0,0,0,8,12586111.07.00
1/1/2015,Quarter1,sweing,Thursday,3,1.15,28.08.00,795,6900,45,0,0,0,57.5,12561391.18.00
1/1/2015,Quarter1,sweing,Thursday,2,1.15,20.27,733,6000,34,0,0,0,55,12551625.31.00
1/1/2015,Quarter1,sweing,Thursday,1,1.15,28.08.00,681,6900,45,0,0,0,57.5,12507130.26.00
1/1/2015,Quarter1,sweing,Thursday,9,0.7,28.08.00,872,6900,44,0,0,0,57.5,12018782.37.00
1/1/2015,Quarter1,sweing,Thursday,10,1.15,19.31,578,6480,45,0,0,0,54,11870087.27.00
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668,3660,50,0,0,0,30.5,11784098.22.00
1/1/2015,Quarter1,finishing,Thursday,10,1.05,4.34,,960,0,0,0,0,8,11765277.47.00
1/1/2015,Quarter1,finishing,Thursday,8,1.15,2.9,,960,0,0,0,0,8,11277777.47.00
1/1/2015,Quarter1,finishing,Thursday,4,1.15,4.34,,2160,0,0,0,0,18,9884259.16.00
1/1/2015,Quarter1,finishing,Thursday,7,0.8,2.9,,960,0,0,0,0,8,9012152.47.00
1/1/2015,Quarter1,sweing,Thursday,4,1.05,24.09.00,861,7200,0,0,0,0,60,868.38.00
1/1/2015,Quarter1,finishing,Thursday,11,0.7,4.15,,1440,0,0,0,0,12,7272106.29.00
1/3/2015,Quarter1,finishing,Saturday,4,0.8,4.15,,6600,0,0,0,0,20,16467078.11.00
1/3/2015,Quarter1,finishing,Saturday,11,1.15,2.9,,5640,0,0,0,0,17,16464673.55.00
1/3/2015,Quarter1,finishing,Saturday,9,0.8,4.15,,960,0,0,0,0,8,15937847.13.00
1/3/2015,Quarter1,finishing,Saturday,3,1.15,4.34,,1560,0,0,0,0,8,15754629.38.00
1/3/2015,Quarter1,finishing,Saturday,1,0.8,4.34,,960,0,0,0,0,8,15048611.07.00
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08.00,772,6300,50,0,0,0,56.5,13345421.54.00
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08.00,913,6540,50,0,0,0,54.5,13338715.36.00
1/3/2015,Quarter1,sweing,Saturday,8,0.8,26.16.00,1261,7080,50,0,0,0,59,13338644.04.00
1/3/2015,Quarter1,sweing,Saturday,12,0.8,26.16.00,844,7080,63,0,0,0,59,13338644.04.00
1/3/2015,Quarter1,sweing,Saturday,11,0.8,12.01,1005,7080,50,0,0,0,29.5,13337288.08.00
1/3/2015,Quarter1,sweing,Saturday,5,0.8,12.01,659,7080,50,0,0,0,31.5,13335810.49.00
1/3/2015,Quarter1,sweing,Saturday,6,0.8,25.9,1152,6720,50,0,0,0,56,13335.25.00
1/3/2015,Quarter1,sweing,Saturday,7,0.8,25.9,1138,6720,38,0,0,0,56,13335.25.00
1/3/2015,Quarter1,sweing,Saturday,10,1.15,19.31,610,6480,56,0,0,0,54,13121661.31.00
1/3/2015,Quarter1,finishing,Saturday,2,0.8,4.15,,960,0,0,0,0,8,13040798.37.00
1/3/2015,Quarter1,sweing,Saturday,2,1.15,20.27,944,6600,45,0,0,0,55,1250405.03.00
1/3/2015,Quarter1,finishing,Saturday,10,0.7,4.15,,960,0,0,0,0,8,116968.45.00
1/3/2015,Quarter1,sweing,Saturday,4,0.7,24.09.00,544,13800,0,0,0,0,60,11668900.38.00
1/3/2015,Quarter1,sweing,Saturday,9,0.7,28.08.00,1072,6900,40,0,0,0,57.5,11666086.57.00
1/3/2015,Quarter1,finishing,Saturday,8,0.8,2.9,,960,0,0,0,0,8,10472222.13.00
1/3/2015,Quarter1,finishing,Saturday,7,0.8,4.34,,960,0,0,0,0,8,104218.45.00
1/4/2015,Quarter1,finishing,Sunday,3,1.15,4.15,,1560,0,0,0,0,8,16523148.09.00
1/4/2015,Quarter1,finishing,Sunday,9,0.8,4.34,,960,0,0,0,0,8,15527430.33.00
1/4/2015,Quarter1,finishing,Sunday,1,0.8,4.34,,960,0,0,0,0,8,15253819.27.00
1/4/2015,Quarter1,sweing,Sunday,6,0.8,12.01,539,6975,50,0,0,0,31,14661908.02.00
1/4/2015,Quarter1,finishing,Sunday,4,0.8,4.34,,6600,0,0,0,0,20,14361316.52.00
